id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36225249,Cosy Apartment in vibrant Easton Bristol,29984985,Ramona,,Easton,51.46951,-2.56393,Entire home/apt,70,2,4,2022-01-02,0.32,1,0,3,
36233170,Affordable Modern Two Bedroom Flat,258179411,Mya,,Henbury & Brentry,51.51452,-2.56989,Entire home/apt,81,2,44,2022-08-21,1.13,1,1,6,
36254645,Stay at the Whiteway.,242316855,Everton,,St George Central,51.46173,-2.53389,Entire home/apt,66,2,62,2022-08-24,1.60,1,326,18,
36266662,Large beautiful family home in central Bristol,40729479,Kate,,Ashley,51.46874,-2.58867,Entire home/apt,350,7,5,2022-07-31,0.15,1,347,2,
36294370,Gorgeous recently renovated house St Werburghs,21085319,Kim,,Ashley,51.47088,-2.57659,Entire home/apt,140,14,0,,,1,327,0,
36327407,Clifton Spacious 3 Bed Apt&Parking-Simply Check In,122166170,Simply Check In,,Clifton Down,51.46766,-2.61865,Entire home/apt,145,30,41,2022-09-13,1.08,2,130,20,
36347260,Lovely house in quiet leafy NW Bristol suburb,238268860,Saghi,,Avonmouth & Lawrence Weston,51.49361,-2.64789,Entire home/apt,110,2,14,2022-06-06,0.37,3,48,2,
36372196,Old Market Studio's- No 1,65192629,Hopewell,,Lawrence Hill,51.45622,-2.57936,Entire home/apt,72,1,71,2022-09-16,1.83,157,336,21,
36379273,"Debbie and Momo's small double in light, airy flat",1630718,Debbie,,Filwood,51.42525,-2.58858,Private room,25,2,12,2022-08-01,0.31,1,194,1,
36477018,The Little Blue House - Covid secure!,24760810,Martha And Sam,,Eastville,51.47893,-2.5381,Entire home/apt,53,2,89,2022-09-15,2.30,1,89,22,
36558333,Stylish Family House near City Centre - Bristol,47836893,Helen,,Knowle,51.43756,-2.5724,Entire home/apt,140,5,3,2022-08-21,0.09,2,16,1,
36600421,Central Haven: a cosy quirky nest,28931720,Sarah,,Ashley,51.46279,-2.58885,Entire home/apt,100,2,25,2022-09-04,0.66,2,3,11,
36624296,Old Market Studios - Number 2,65192629,Hopewell,,Lawrence Hill,51.45523,-2.58032,Entire home/apt,86,1,88,2022-09-16,2.26,157,76,57,
36624963,Bright Modern Two Bed with Parking,65192629,Hopewell,,Cotham,51.46758,-2.60203,Entire home/apt,135,1,43,2022-08-12,1.11,157,357,7,
36833289,Beautiful spacious cottage with hot tub.,146425738,Catherine,,Bishopsworth,51.42084,-2.63087,Entire home/apt,207,2,174,2022-09-05,4.56,2,143,68,
36836671,Spacious sunny 3 bedroom flat in Bishopston,276863622,Kathy,,Redland,51.4776,-2.59364,Entire home/apt,100,2,91,2022-09-19,2.37,1,282,63,
36858322,York Gardens,125651447,Your Apartment,,Clifton,51.45404,-2.62114,Entire home/apt,328,1,36,2022-08-28,0.98,64,345,14,
